Drug Name,Side Effects,Age Category,Medical Condition
Zovirax,"Nausea, vomiting, diarrhea, headache",Child,"Treatment of viral infections caused by herpes viruses, including cold sores and genital herpes"
docosanol,"Skin irritation, burning sensation",Adult,Treatment of cold sores caused by the herpes simplex virus
Blistex Ointment,"Skin irritation, redness, itching",Adult,"Relief of dry, chapped lips and cold sores"
allantoin / camphor / phenol,"Skin irritation, burning sensation",Adult,"Relief of pain and itching associated with minor cuts, scrapes, and insect bites"
lisinopril,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
losartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
hydrochlorothiazide,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and edema
Benicar,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
furosemide,"Dizziness, low blood pressure",Adult,Treatment of edema and high blood pressure
Cozaar,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
hydrochlorothiazide / lisinopril,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure
Bystolic,"Dizziness, fatigue, low blood pressure",Adult,Treatment of high blood pressure
Diovan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
valsartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
Avapro,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
enalapril,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
hydralazine,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Lasix,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
nifedipine,"Dizziness, headache, flushing",Adult,Treatment of high blood pressure and chest pain
Prinivil,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
ramipril,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
Zestril,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
diltiazem,"Dizziness, low blood pressure, constipation",Adult,"Treatment of high blood pressure, chest pain, and certain heart rhythm disorders"
hydrochlorothiazide / losartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and edema
irbesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
olmesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Vasotec,"Dizziness, low blood pressure, cough",Adult,Treatment of high blood pressure and heart failure
chlorthalidone,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and edema
hydrochlorothiazide / triamterene,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
amlodipine / benazepril,"Dizziness, swelling, low blood pressure",Adult,Treatment of high blood pressure
benazepril,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
bisoprolol,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and heart failure
Diovan HCT,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure and edema
doxazosin,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and urinary symptoms associated with an enlarged prostate
Maxzide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
Benicar HCT,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
candesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Cartia XT,"Dizziness, headache, low blood pressure",Adult,Treatment of high blood pressure and chest pain
Exforge,"Dizziness, low blood pressure, swelling",Adult,Treatment of high blood pressure
labetalol,"Dizziness, low blood pressure, fatigue",Adult,Treatment of high blood pressure
perindopril,"Dizziness, cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
Qbrelis,"Dizziness, low blood pressure, cough",Adult,Treatment of high blood pressure and heart failure
telmisartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Altace,"Cough, low blood pressure, dizziness",Adult,Treatment of high blood pressure and heart failure
amlodipine / valsartan,"Dizziness, swelling, low blood pressure",Adult,Treatment of high blood pressure
Aquazide H,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
atenolol / chlorthalidone,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Azor,"Dizziness, swelling, low blood pressure",Adult,Treatment of high blood pressure
captopril,"Cough, low blood pressure, dizziness",Adult,Treatment of high blood pressure and heart failure
Cardizem CD,"Dizziness, low blood pressure, constipation",Adult,"Treatment of high blood pressure, chest pain, and certain heart rhythm disorders"
CaroSpir,"Low blood pressure, dizziness",Adult,Treatment of high blood pressure and heart failure
Catapres,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Catapres-TTS,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Dyazide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
Esidrix,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
felodipine,"Swelling, low blood pressure, headache",Adult,Treatment of high blood pressure and chest pain
hydrochlorothiazide / valsartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Hyzaar,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
indapamide,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
InnoPran XL,"Dizziness, low blood pressure, fatigue",Adult,Treatment of high blood pressure and certain heart rhythm disorders
Lotrel,"Dizziness, swelling, low blood pressure",Adult,Treatment of high blood pressure
Micardis,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Microzide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
nebivolol,"Dizziness, fatigue, low blood pressure",Adult,Treatment of high blood pressure
prazosin,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and symptoms of benign prostatic hyperplasia (BPH)
Procardia XL,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and certain types of chest pain
quinapril,"Cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
terazosin,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and symptoms of benign prostatic hyperplasia (BPH)
Accupril,"Cough, low blood pressure",Adult,Treatment of high blood pressure
Adalat CC,"Swelling, low blood pressure",Adult,Treatment of high blood pressure and certain types of chest pain
Afeditab CR,"Swelling, low blood pressure",Adult,Treatment of high blood pressure
amlodipine / hydrochlorothiazide / valsartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
amlodipine / olmesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Apresoline,Low blood pressure,Adult,Treatment of high blood pressure
Atacand,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Avalide,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
benazepril / hydrochlorothiazide,"Cough, low blood pressure",Adult,Treatment of high blood pressure
bendroflumethiazide / nadolol,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
bendroflumethiazide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
bisoprolol / hydrochlorothiazide,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Cardizem LA,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and certain types of chest pain
Cardura,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and symptoms of benign prostatic hyperplasia (BPH)
Dilacor XR,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
Dilt-XR,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
Diltia XT,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
Diltzac,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
Epaned,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
eplerenone,"Dizziness, low blood pressure, high potassium levels",Adult,Treatment of high blood pressure and heart failure
Exforge HCT,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
fosinopril,"Cough, low blood pressure",Adult,Treatment of high blood pressure and heart failure
hydrochlorothiazide / irbesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
hydrochlorothiazide / olmesartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
hydrochlorothiazide / telmisartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Lotensin,"Cough, low blood pressure",Adult,Treatment of high blood pressure
Matzim LA,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and certain types of chest pain
methyldopa,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
metolazone,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
Micardis HCT,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
minoxidil,"Scalp irritation, increased hair growth",Adult,Treatment of hair loss
Nexiclon XR,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Taztia XT,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
Tekturna,"Dizziness, low blood pressure, high potassium levels",Adult,Treatment of high blood pressure
Tiadylt ER,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Tiazac,"Dizziness, low blood pressure, constipation",Adult,Treatment of high blood pressure and certain types of chest pain
torsemide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
Zestoretic,"Cough, low blood pressure",Adult,Treatment of high blood pressure
Ziac,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Accuretic,"Cough, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
acebutolol,"Dizziness, low blood pressure, slow heart rate",Adult,Treatment of high blood pressure and certain heart conditions
Aldactazide,"Increased urination, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
Aldoril,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
aliskiren / hydrochlorothiazide,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
aliskiren,"Dizziness, low blood pressure, high potassium levels",Adult,Treatment of high blood pressure
amiloride / hydrochlorothiazide,"Increased urination, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
amiloride,"Increased urination, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
amlodipine / celecoxib,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure and certain types of arthritis pain
amlodipine / hydrochlorothiazide / olmesartan,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
amlodipine / perindopril,"Dizziness, low blood pressure, cough",Adult,Treatment of high blood pressure
amlodipine / telmisartan,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
Atacand HCT,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
azilsartan medoxomil / chlorthalidone,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
azilsartan medoxomil,"Dizziness, low blood pressure",Adult,Treatment of high blood pressure
betaxolol,"Dizziness, low blood pressure, slow heart rate",Adult,Treatment of high blood pressure and certain heart conditions
Brevibloc,"Low blood pressure, slow heart rate",Adult,Treatment of high blood pressure and certain heart conditions
candesartan / hydrochlorothiazide,"Dizziness, low blood pressure, electrolyte imbalances",Adult,Treatment of high blood pressure
captopril / hydrochlorothiazide,"Dizziness, low blood pressure, dry cough",Adult,Treatment of high blood pressure
Cardene IV,"Low blood pressure, slow heart rate",Adult,Treatment of high blood pressure and certain types of chest pain
chlorothiazide,"Increased urination, electrolyte imbalances",Adult,Treatment of edema and high blood pressure
clevidipine,Low blood pressure,Adult,Treatment of high blood pressure
